treatment,region,replicate,score
对照,北区,1,17.591174
对照,北区,2,20.414149
对照,北区,3,17.504548
对照,北区,4,19.741221
对照,北区,5,21.168271
对照,北区,6,20.819771
对照,北区,7,20.402841
对照,北区,8,18.560484
对照,北区,9,20.828673
对照,北区,10,22.279633
对照,北区,11,20.712339
对照,北区,12,19.916539
对照,北区,13,18.859121
对照,北区,14,18.105417
对照,北区,15,19.381703
对照,北区,16,20.935356
对照,北区,17,19.744572
对照,北区,18,22.114221
对照,北区,19,18.691436
对照,北区,20,21.584604
对照,北区,21,18.967025
对照,北区,22,21.111413
对照,北区,23,18.655281
对照,北区,24,19.524746
对照,北区,25,23.462837
对照,北区,26,20.750484
对照,北区,27,20.867735
对照,北区,28,21.390809
对照,北区,29,19.770231
对照,北区,30,19.622498
对照,北区,31,17.366978
对照,北区,32,20.619853
对照,北区,33,18.801298
对照,北区,34,22.016861
对照,北区,35,21.231251
对照,北区,36,18.764148
对照,北区,37,18.083799
对照,北区,38,18.081342
对照,北区,39,21.106422
对照,北区,40,20.313979
对照,南区,1,23.627887
对照,南区,2,23.087871
对照,南区,3,22.546268
对照,南区,4,24.725350
对照,南区,5,20.378518
对照,南区,6,24.181019
对照,南区,7,24.144255
对照,南区,8,22.718302
对照,南区,9,22.724236
对照,南区,10,23.159054
对照,南区,11,21.313042
对照,南区,12,21.017800
对照,南区,13,22.753106
对照,南区,14,23.917621
对照,南区,15,20.349820
对照,南区,16,23.761883
对照,南区,17,23.576130
对照,南区,18,21.957740
对照,南区,19,24.526580
对照,南区,20,23.852944
对照,南区,21,21.751066
对照,南区,22,22.410878
对照,南区,23,24.795960
对照,南区,24,22.334957
对照,南区,25,23.289439
对照,南区,26,23.920975
对照,南区,27,21.759036
对照,南区,28,22.412635
对照,南区,29,20.833469
对照,南区,30,23.604503
对照,南区,31,24.981741
对照,南区,32,23.372324
对照,南区,33,24.365739
对照,南区,34,21.799989
对照,南区,35,24.362487
对照,南区,36,22.146355
对照,南区,37,23.259776
对照,南区,38,22.353613
对照,南区,39,22.795126
对照,南区,40,21.443501
方法甲,北区,1,21.524449
方法甲,北区,2,23.618261
方法甲,北区,3,22.344923
方法甲,北区,4,22.867912
方法甲,北区,5,22.566615
方法甲,北区,6,20.671265
方法甲,北区,7,23.970319
方法甲,北区,8,21.130155
方法甲,北区,9,23.657695
方法甲,北区,10,23.380856
方法甲,北区,11,23.283649
方法甲,北区,12,23.044835
方法甲,北区,13,22.677043
方法甲,北区,14,23.065022
方法甲,北区,15,25.276910
方法甲,北区,16,24.526357
方法甲,北区,17,22.930503
方法甲,北区,18,22.346392
方法甲,北区,19,23.777445
方法甲,北区,20,22.825412
方法甲,北区,21,24.378541
方法甲,北区,22,22.579880
方法甲,北区,23,24.848810
方法甲,北区,24,20.418812
方法甲,北区,25,21.031117
方法甲,北区,26,23.097229
方法甲,北区,27,22.273053
方法甲,北区,28,22.587546
方法甲,北区,29,23.273142
方法甲,北区,30,22.974689
方法甲,北区,31,22.167589
方法甲,北区,32,21.655649
方法甲,北区,33,21.659009
方法甲,北区,34,23.279071
方法甲,北区,35,24.688580
方法甲,北区,36,23.971173
方法甲,北区,37,21.675339
方法甲,北区,38,23.584207
方法甲,北区,39,25.086281
方法甲,北区,40,23.825917
方法甲,南区,1,30.344535
方法甲,南区,2,28.880696
方法甲,南区,3,29.029876
方法甲,南区,4,29.414418
方法甲,南区,5,33.918568
方法甲,南区,6,28.003066
方法甲,南区,7,26.892996
方法甲,南区,8,27.356989
方法甲,南区,9,31.069296
方法甲,南区,10,28.945734
方法甲,南区,11,28.807673
方法甲,南区,12,30.004037
方法甲,南区,13,27.983427
方法甲,南区,14,31.344947
方法甲,南区,15,28.117958
方法甲,南区,16,27.470891
方法甲,南区,17,30.403116
方法甲,南区,18,27.747269
方法甲,南区,19,28.956040
方法甲,南区,20,28.139650
方法甲,南区,21,26.814042
方法甲,南区,22,29.728286
方法甲,南区,23,27.175588
方法甲,南区,24,29.972316
方法甲,南区,25,28.199230
方法甲,南区,26,27.858155
方法甲,南区,27,29.846003
方法甲,南区,28,28.094434
方法甲,南区,29,28.770232
方法甲,南区,30,29.276540
方法甲,南区,31,30.883629
方法甲,南区,32,29.825424
方法甲,南区,33,29.558167
方法甲,南区,34,29.153708
方法甲,南区,35,27.631057
方法甲,南区,36,29.658219
方法甲,南区,37,30.102651
方法甲,南区,38,32.631451
方法甲,南区,39,29.170788
