feature_x,feature_y,radius,expected_cluster
-0.200720,5.121319,5.125251,1
1.649043,4.571689,4.860009,1
0.362286,4.780493,4.794201,1
-0.059555,4.684350,4.684729,1
-5.975612,-4.540839,7.505142,0
0.342599,4.834041,4.846167,1
-0.871375,4.762036,4.841103,1
6.528039,-1.736297,6.754999,2
0.092461,4.394375,4.395348,1
-5.975830,-3.005700,6.689154,0
-4.790997,-4.204658,6.374387,0
-3.994195,-3.886904,5.573295,0
4.351828,-2.418530,4.978724,2
5.010538,-1.830415,5.334408,2
0.815290,4.947053,5.013784,1
4.755739,-0.914798,4.842923,2
-4.382794,-4.932521,6.598382,0
-4.734398,-3.176070,5.701047,0
0.472869,5.352389,5.373237,1
-0.431160,5.157676,5.175666,1
-4.945876,-3.734691,6.197548,0
4.785267,-2.519682,5.408103,2
4.181008,-2.049945,4.656512,2
-0.555085,4.569543,4.603134,1
-5.065926,-3.775993,6.318364,0
0.159343,4.793360,4.796008,1
-6.122828,-4.388883,7.533347,0
-1.035410,4.618728,4.733362,1
-0.900460,5.802377,5.871831,1
0.379808,4.754752,4.769898,1
5.407643,-1.918572,5.737902,2
-4.869899,-4.577725,6.683673,0
3.829196,-1.020943,3.962962,2
-3.888003,-4.600199,6.023155,0
0.171831,5.534800,5.537467,1
4.868407,-1.705523,5.158507,2
-4.244349,-3.733854,5.652978,0
4.229992,-1.630088,4.533213,2
0.634351,4.858696,4.899931,1
0.076206,4.301651,4.302326,1
-4.396468,-4.518216,6.304221,0
6.357124,-2.430348,6.805852,2
6.728529,-1.081383,6.814873,2
-4.912898,-3.848570,6.240838,0
5.078121,-2.673060,5.738690,2
-4.661730,-4.392466,6.405114,0
0.446313,5.121349,5.140760,1
-4.423290,-3.262907,5.496549,0
5.353364,-1.949548,5.697302,2
-5.077601,-4.355999,6.690049,0
4.917752,-1.768385,5.226037,2
-1.240155,5.271131,5.415054,1
-4.449412,-3.973267,5.965243,0
-5.604237,-4.099320,6.943479,0
5.415462,-1.782301,5.701213,2
-4.864030,-4.455187,6.596020,0
4.510450,-1.796164,4.854932,2
-0.040582,5.022375,5.022539,1
-0.021544,5.075980,5.076026,1
-0.029594,4.300746,4.300848,1
4.774568,-2.383711,5.336533,2
-5.800719,-4.922969,7.608151,0
-4.715985,-4.018417,6.195820,0
4.616228,-1.996609,5.029514,2
4.643436,-1.338625,4.832537,2
5.407081,-2.952536,6.160681,2
1.158859,5.830714,5.944761,1
-0.891225,5.243220,5.318424,1
-3.788313,-3.568586,5.204432,0
0.536757,5.849770,5.874344,1
5.687274,-3.892915,6.892015,2
0.854018,5.568822,5.633926,1
-4.597086,-4.145902,6.190453,0
0.793400,3.073129,3.173894,1
-5.296417,-3.909199,6.582846,0
0.365051,5.259423,5.272076,1
-5.247198,-4.889581,7.172244,0
-5.903578,-3.556605,6.892146,0
0.158708,5.163919,5.166357,1
4.640083,-1.091184,4.766661,2
-0.547124,5.075030,5.104436,1
-5.033464,-2.635136,5.681523,0
-0.331292,5.058945,5.069781,1
4.089820,-1.784771,4.462290,2
4.929548,-1.585993,5.178399,2
-5.095409,-3.774868,6.341358,0
1.076881,4.518931,4.645472,1
5.320321,-2.256470,5.779054,2
5.612241,-2.338684,6.080024,2
-0.893074,3.911486,4.012144,1
-0.947032,5.202100,5.287600,1
-3.863085,-4.394497,5.851070,0
4.746792,-1.712049,5.046102,2
5.320418,-1.266322,5.469042,2
-5.240090,-4.266511,6.757341,0
1.628760,5.650119,5.880196,1
4.410023,-1.192627,4.568442,2
-0.160238,5.962107,5.964260,1
-5.390569,-4.691853,7.146448,0
5.355170,-3.064594,6.170055,2
6.310581,-1.509644,6.488640,2
4.895230,-1.673820,5.173486,2
0.221671,4.676013,4.681265,1
3.975195,-1.784797,4.357485,2
-5.078632,-5.125746,7.215662,0
5.169755,-3.242042,6.102229,2
5.467580,-2.497377,6.010934,2
0.472022,4.220143,4.246459,1
5.082846,-0.989332,5.178233,2
-4.848487,-4.808085,6.828287,0
-5.568869,-3.443020,6.547266,0
-3.924830,-4.230366,5.770640,0
-5.226945,-4.020999,6.594649,0
-4.837180,-3.469118,5.952570,0
-4.807047,-4.164091,6.359823,0
-1.197499,4.080063,4.252167,1
-5.514004,-3.847771,6.723807,0
-5.019952,-4.887454,7.006220,0
0.363797,4.797498,4.811272,1
-4.695544,-4.189366,6.292768,0
5.134892,-1.971845,5.500481,2
-5.088390,-3.167163,5.993550,0
-0.403958,5.444768,5.459733,1
5.973471,-2.714547,6.561335,2
5.754550,-1.714695,6.004583,2
-0.138085,4.761521,4.763522,1
-5.862201,-3.002810,6.586522,0
-5.477388,-3.238589,6.363194,0
-0.856208,4.115565,4.203685,1
4.739298,-2.447777,5.334094,2
4.097436,-3.271051,5.242973,2
5.269209,-1.899374,5.601088,2
0.088568,6.547624,6.548223,1
-4.900752,-3.655174,6.113728,0
-4.982104,-4.392877,6.642193,0
-4.866573,-4.242705,6.456321,0
-1.109783,4.970191,5.092584,1
-5.143618,-3.723264,6.349764,0
-4.978011,-4.111570,6.456439,0
4.397896,-1.790785,4.748516,2
5.228110,-2.415560,5.759172,2
5.519713,-3.254172,6.407563,2
-5.859546,-3.407855,6.778477,0
0.539234,4.718438,4.749151,1
-0.294096,3.776014,3.787449,1
0.316047,4.778698,4.789138,1
-0.028422,3.752418,3.752525,1
5.069547,-1.470384,5.278478,2
5.921634,-2.916491,6.600884,2
-4.731352,-3.813252,6.076724,0
4.524962,-2.829745,5.336922,2
4.813634,-1.935187,5.188065,2
-4.591716,-3.385653,5.704954,0
-5.775644,-4.852460,7.543503,0
-0.245522,4.720899,4.727279,1
4.805972,-1.809329,5.135273,2
-4.597095,-5.035336,6.818203,0
0.466671,4.679622,4.702833,1
0.077160,5.466557,5.467101,1
-3.208008,-4.155833,5.249977,0
-0.413359,5.151948,5.168504,1
4.888264,-1.371571,5.077040,2
-4.054615,-4.281942,5.897027,0
4.740673,-2.099218,5.184660,2
5.027290,-2.304782,5.530431,2
-4.451246,-3.750477,5.820624,0
0.213344,5.795100,5.799026,1
-4.435776,-3.440321,5.613548,0
-0.568273,5.641444,5.669994,1
-5.033894,-3.677836,6.234305,0
-4.422848,-3.488040,5.632762,0
-4.656392,-4.007855,6.143687,0
-5.578414,-5.099285,7.557871,0
4.356368,-3.110130,5.352649,2
5.309067,-2.161996,5.732401,2
-0.894305,4.250243,4.343310,1
1.074142,4.852160,4.969632,1
5.463913,-2.756603,6.119902,2
0.249535,4.777299,4.783812,1
-5.268047,-3.566850,6.361976,0
0.615835,4.577557,4.618797,1
-5.152459,-4.703033,6.976127,0
4.129734,-1.731138,4.477895,2
4.260120,-1.669463,4.575558,2
0.867458,5.131922,5.204720,1
5.352080,-1.461148,5.547947,2
5.641390,-3.060670,6.418175,2
0.694778,5.456957,5.501009,1
0.553019,3.713588,3.754540,1
4.304000,-1.918380,4.712176,2
-5.662192,-4.709474,7.364751,0
-0.748395,5.834308,5.882113,1
0.553774,5.625829,5.653019,1
-3.141916,-3.446717,4.663850,0
4.886063,-1.968828,5.267817,2
-5.576093,-3.968753,6.844253,0
-4.707584,-4.397885,6.442262,0
-0.328890,6.178512,6.187260,1
-0.456335,5.057857,5.078401,1
-3.990701,-4.204709,5.797006,0
4.553753,-2.848387,5.371217,2
0.737303,4.166438,4.231172,1
-0.338222,4.807563,4.819446,1
5.236128,-2.594163,5.843519,2
3.905314,-2.437742,4.603702,2
-5.272751,-3.935763,6.579676,0
0.405415,4.767939,4.785144,1
0.362263,4.359027,4.374054,1
-4.916253,-3.962662,6.314446,0
-0.285002,4.669844,4.678532,1
5.407149,-2.711615,6.048976,2
6.183078,-1.613762,6.390202,2
5.253968,-1.602502,5.492922,2
5.376791,-0.806927,5.437004,2
-4.684066,-4.329147,6.378243,0
4.951684,-1.869322,5.292781,2
5.094160,-2.802707,5.814261,2
0.295429,4.836305,4.845320,1
5.376469,-1.915817,5.707607,2
5.003013,-2.289038,5.501803,2
5.164359,-2.452901,5.717283,2
4.804761,-1.823185,5.139040,2
-0.344894,5.148286,5.159826,1
-5.569670,-4.684629,7.277842,0
5.833908,-1.047397,5.927185,2
-5.239894,-4.733133,7.061093,0
-3.919708,-4.548763,6.004611,0
-5.679974,-4.531028,7.265832,0
-4.409218,-3.276107,5.493094,0
-4.440321,-4.293479,6.176602,0
-4.308904,-2.671993,5.070128,0
-6.004428,-4.214752,7.336027,0
0.848440,5.521241,5.586050,1
1.580080,4.479368,4.749883,1
4.764761,-1.811457,5.097482,2
-1.035264,5.297338,5.397552,1
4.958820,-2.013309,5.351945,2
5.758568,-1.810701,6.036535,2
-0.299393,5.330768,5.339168,1
5.985220,-2.979774,6.685949,2
-5.156121,-4.808085,7.050055,0
4.512748,-2.098453,4.976786,2
0.449497,3.989035,4.014280,1
5.172546,-1.493217,5.383765,2
-6.193957,-3.162840,6.954758,0
5.000404,-2.411219,5.551398,2
-4.717719,-4.543666,6.549945,0
5.035841,-2.298141,5.535445,2
-0.570855,4.276572,4.314504,1
-4.286554,-4.230420,6.022541,0
-0.756663,6.339900,6.384894,1
-5.469549,-4.099746,6.835487,0
-5.406560,-3.018110,6.191921,0
5.746644,-2.077612,6.110678,2
5.223718,-1.205671,5.361052,2
0.026366,5.718276,5.718337,1
-0.430117,4.929302,4.948032,1
-4.709059,-4.573285,6.564310,0
5.587506,-1.793272,5.868224,2
-0.310177,4.569241,4.579756,1
5.086183,-2.180804,5.534001,2
0.617520,3.978043,4.025687,1
4.376655,-2.103368,4.855848,2
-5.347877,-3.430724,6.353712,0
-5.040101,-3.554348,6.167334,0
4.893604,-1.243108,5.049027,2
5.209302,-2.453889,5.758333,2
0.446134,4.475493,4.497674,1
4.980914,-2.374580,5.517983,2
-5.190336,-3.483060,6.250703,0
0.844056,4.396220,4.476514,1
-5.368621,-4.336612,6.901326,0
0.301804,4.177859,4.188746,1
-4.759637,-3.766572,6.069696,0
-0.189746,4.949133,4.952769,1
-0.143310,4.583210,4.585450,1
4.109752,-0.805008,4.187852,2
-5.312555,-3.981990,6.639238,0
-0.537065,5.144754,5.172710,1
0.084609,4.636994,4.637766,1
-5.637361,-4.082649,6.960450,0
0.096090,5.052755,5.053668,1
0.574018,4.426060,4.463127,1
-0.076137,4.327849,4.328519,1
-5.566292,-3.974466,6.839590,0
4.845433,-1.345767,5.028848,2
4.579827,-2.139926,5.055106,2
-4.799536,-4.481244,6.566361,0
4.630158,-1.307674,4.811276,2
0.088004,6.628590,6.629174,1
-5.596807,-4.622290,7.258775,0
-6.219935,-3.990554,7.390001,0
-1.355492,5.241442,5.413878,1
-3.892046,-4.939470,6.288592,0
5.741315,-1.679847,5.982022,2
-4.698405,-3.484047,5.849239,0
-6.601444,-4.279385,7.867159,0
-4.949553,-3.881354,6.289911,0
5.358460,-1.357271,5.527683,2
-1.009877,4.780520,4.886023,1
-5.045556,-4.052940,6.471782,0
-0.502595,5.405945,5.429258,1
0.859237,5.361396,5.429812,1
-0.482333,4.727320,4.751863,1
4.736379,-1.393149,4.937019,2
-5.812735,-4.115228,7.122008,0
5.942896,-2.473493,6.437094,2
5.129911,-3.033730,5.959824,2
-0.864867,4.715459,4.794116,1
1.261794,4.590273,4.760539,1
5.466583,-2.324518,5.940279,2
-5.361163,-3.598340,6.456789,0
-4.856438,-3.105939,5.764707,0
4.051496,-2.721579,4.880739,2
-4.655308,-2.957985,5.515575,0
-0.725945,4.401389,4.460854,1
0.314944,5.176669,5.186241,1
0.159203,5.313407,5.315791,1
0.488548,5.194758,5.217681,1
4.784215,-2.655361,5.471714,2
-4.178233,-3.859987,5.688333,0
5.949757,-2.535423,6.467456,2
0.016010,4.737060,4.737088,1
-4.465512,-3.085418,5.427762,0
-4.901047,-4.524264,6.670025,0
4.780616,-1.644819,5.055662,2
0.413088,3.958424,3.979920,1
0.075678,4.692162,4.692772,1
5.169194,-2.051131,5.561268,2
-5.791392,-4.371821,7.256241,0
-5.068484,-4.190270,6.576313,0
-5.296924,-4.339195,6.847336,0
-4.464248,-4.511585,6.346961,0
0.030017,5.231949,5.232036,1
5.385284,-2.538510,5.953597,2
5.037203,-2.244575,5.514665,2
-5.384530,-3.674494,6.518824,0
-1.609446,4.199167,4.497034,1
-0.323287,4.353285,4.365273,1
-5.015569,-4.750282,6.908047,0
5.829518,-2.404389,6.305899,2
4.860781,0.126777,4.862434,2
0.769129,4.531362,4.596172,1
0.279974,5.112471,5.120131,1
1.080754,5.189674,5.301014,1
-5.303925,-3.729699,6.484002,0
5.960472,-1.380634,6.118282,2
4.308449,-2.084350,4.786151,2
6.116906,-2.295842,6.533562,2
4.789751,-2.170544,5.258610,2
5.469447,-1.556068,5.686493,2
-5.026762,-4.755214,6.919566,0
-0.688485,4.462645,4.515441,1
-0.262795,5.229195,5.235794,1
-5.112496,-4.478657,6.796763,0
5.398080,-2.109491,5.795621,2
0.948384,5.976912,6.051687,1
0.501734,4.637932,4.664992,1
5.612829,-0.829598,5.673807,2
5.956351,-2.031257,6.293181,2
