feature_x,feature_y,region,target_value
-1.052045,-1.204174,华东,2.972160
5.602754,1.828279,华南,13.890420
-6.396668,-1.335039,华北,-18.421654
-1.003404,-1.014436,华东,2.564398
4.897484,-0.047320,华南,14.915166
-5.432751,4.426654,华北,-22.733117
-4.544803,0.995791,华东,-11.062530
-7.614212,-1.971780,华南,-23.803137
-3.357600,0.218612,华北,-8.992508
1.341496,-0.178483,华东,8.572473
6.115624,-2.803955,华南,22.471899
1.323384,2.169537,华北,2.420184
6.270362,-1.666693,华东,26.943336
-6.022461,1.960243,华南,-23.443130
6.191863,-2.618878,华北,27.433222
-0.597159,4.308301,华东,-6.861966
3.648356,0.395313,华南,10.448329
-4.924187,-4.057249,华北,-6.770523
7.020451,-2.562344,华东,30.733814
6.283189,-1.929984,华南,21.922707
-7.608055,-2.884555,华北,-17.269269
5.476391,3.419035,华东,15.007239
1.684775,-0.162395,华南,4.977420
1.831909,-3.687563,华北,13.053991
5.015383,-2.236006,华东,23.839059
-2.075140,4.320005,华南,-14.738857
-0.408637,4.566003,华北,-5.831648
0.532072,-2.291129,华东,9.642341
-0.234307,-1.195228,华南,-0.469681
5.180048,-1.998223,华北,21.389880
0.333710,3.549014,华东,-0.108748
2.368440,-2.083387,华南,10.809438
-3.144532,-3.473684,华北,-2.172599
-3.126999,-4.157939,华东,2.274337
-7.762823,0.123553,华南,-27.042762
-1.965780,3.798282,华北,-10.893186
-7.360877,0.229688,华东,-18.530717
1.644247,1.503856,华南,1.999680
-0.677162,-2.356516,华北,3.081932
-2.981963,2.937798,华东,-10.423216
3.520793,-2.287125,华南,14.222002
5.330320,-4.298831,华北,25.461895
3.052181,-3.843727,华东,20.456227
-1.387553,3.564008,华南,-12.622010
-1.495854,-2.383329,华北,0.287176
-5.444650,2.952978,华东,-18.047059
-7.607526,-4.599386,华南,-17.294945
-3.929107,-1.784578,华北,-6.541016
6.171747,1.797683,华东,20.628561
1.822274,-4.435896,华南,11.207955
4.198211,-4.151458,华北,22.271176
5.400097,-0.173593,华东,21.932443
-3.710726,3.855030,华南,-20.685365
-2.191702,-0.701348,华北,-3.042289
-4.687305,0.630930,华东,-11.769793
6.027787,4.833483,华南,10.210997
-4.272983,-4.386192,华北,-5.081343
-7.338595,-3.263001,华东,-12.481659
1.522616,-2.151950,华南,8.231847
-7.492432,2.347754,华北,-25.030772
-5.433368,4.786723,华东,-20.440462
2.096383,-0.283315,华南,4.237352
3.103714,-0.780183,华北,12.251407
1.861772,3.751775,华东,3.404816
-1.538323,0.270357,华南,-5.813836
6.893907,-2.965836,华北,28.028814
-6.165478,4.779029,华东,-23.806697
7.749490,-3.061684,华南,28.359702
3.015651,-1.235085,华北,13.727496
7.157231,-2.430102,华东,30.227465
3.664768,-4.008138,华南,15.420954
2.443634,3.841236,华北,5.065149
-3.870016,-1.565644,华东,-6.906934
-3.245531,1.650343,华南,-14.989477
-6.758721,-3.791841,华北,-12.893774
0.944509,4.604182,华东,-1.283041
-7.180389,4.358817,华南,-32.166758
-4.565959,-3.419365,华北,-7.373194
-4.697770,-4.842624,华东,-1.922586
5.322048,2.057053,华南,11.847955
0.212872,-0.614975,华北,4.358036
3.047681,3.455773,华东,7.954290
1.224330,0.794547,华南,-1.159799
-1.884174,-1.268462,华北,-2.470038
-5.736619,4.880704,华东,-22.638004
6.246312,1.402500,华南,13.947879
-5.340746,-2.778123,华北,-10.845360
0.173078,0.318453,华东,4.574837
-0.238837,1.471318,华南,-5.430766
-5.577863,-2.006804,华北,-11.116601
0.791985,-1.047776,华东,8.769723
-3.346310,4.960658,华南,-20.717443
-1.492543,1.049713,华北,-4.541677
1.921128,2.197597,华东,6.554559
-2.701324,2.824024,华南,-14.692092
-6.681615,1.772416,华北,-22.653984
2.367276,-0.982498,华东,14.628819
5.323683,-3.075217,华南,21.458403
3.626370,4.615803,华北,6.209945
6.609554,-0.433118,华东,24.865839
-0.946126,1.156121,华南,-8.171287
-7.853871,1.304136,华北,-24.516437
4.953256,-1.833368,华东,23.411278
-3.753871,2.318448,华南,-19.493881
-1.065179,-0.873342,华北,-0.539511
-3.997956,3.628975,华东,-13.100388
-2.378210,-3.073334,华南,-5.292299
7.717646,-3.660963,华北,33.241873
-6.819867,3.560506,华东,-24.086915
7.098066,2.486420,华南,15.944571
5.968067,3.388296,华北,15.929717
7.789709,-1.316338,华东,31.975703
-7.288238,-0.085801,华南,-25.861897
6.324256,0.745093,华北,21.648904
5.481842,-3.092249,华东,27.548238
-3.602445,-1.991257,华南,-9.499584
-0.169178,-0.886373,华北,2.876356
-0.308342,1.296644,华东,0.204873
6.132907,-1.052775,华南,18.225690
-6.393303,4.664790,华北,-26.942397
7.536538,0.499899,华东,25.753158
1.231834,2.076676,华南,-1.568607
-6.702097,4.614485,华北,-27.998718
0.823453,4.224123,华东,-0.674739
-6.069573,-4.356369,华南,-13.504474
7.421059,-2.271829,华北,30.839534
4.626184,2.235950,华东,14.801536
4.069784,1.099514,华南,9.998377
2.723169,4.425724,华北,1.729104
-2.486442,-0.978492,华东,-2.150868
-0.667792,1.161592,华南,-5.474280
7.092327,0.823399,华北,22.412463
2.485448,4.718517,华东,4.344931
-0.465669,-2.729383,华南,2.215842
-7.265005,-0.354301,华北,-20.912522
1.278402,2.477925,华东,4.233911
7.065183,4.947761,华南,12.669028
4.347086,-0.247991,华北,17.456800
-6.772748,-1.927518,华东,-15.218145
0.229719,2.619220,华南,-5.162702
1.320139,-1.555946,华北,8.088334
-2.257170,2.301681,华东,-8.872254
6.555285,1.847817,华南,15.424183
-6.023728,-1.798762,华北,-13.126887
4.635776,3.224536,华东,12.716033
-7.533065,-1.359250,华南,-23.752153
6.150824,-2.336774,华北,25.666872
3.208826,1.242100,华东,10.658567
-3.561598,-4.996257,华南,-4.731380
1.950388,2.650768,华北,4.337353
-6.326015,-1.655278,华东,-12.921060
-5.996293,-2.642674,华南,-15.391795
-2.865742,3.186667,华北,-12.809253
5.926337,1.985900,华东,20.343268
-5.124135,-2.045763,华南,-13.962127
-1.127315,-1.314069,华北,1.062936
2.709246,3.302136,华东,5.920158
-1.739612,-1.617662,华南,-2.773493
0.693712,0.273468,华北,3.290739
-1.741622,3.379556,华东,-8.159768
0.596361,2.207865,华南,-2.675224
7.419418,2.973996,华北,21.610361
5.233938,-4.915592,华东,27.755634
1.939851,-4.609289,华南,11.688554
-2.211828,1.878600,华北,-7.323428
-1.596856,-3.218750,华东,6.138847
-1.744283,-2.962947,华南,-2.557216
-2.632686,1.744865,华北,-11.012437
1.331687,0.149029,华东,7.759248
-1.186500,-1.474561,华南,-2.178659
-4.375689,-0.681075,华北,-10.585853
-0.369774,-2.823813,华东,8.222252
-2.731252,-1.490686,华南,-6.474029
-3.686310,-3.423366,华北,-4.645066
2.435483,-4.783188,华东,20.796366
-2.634041,4.603824,华南,-18.422025
-6.205451,4.682996,华北,-27.275538
-0.905321,-1.955812,华东,4.931007
0.590580,0.844945,华南,-0.529118
5.557765,2.159772,华北,16.471738
3.205860,-4.330155,华东,22.120056
5.425287,-0.370404,华南,16.141932
-0.102731,-0.447180,华北,2.562141
-7.421983,1.780207,华东,-23.147502
-1.526482,-1.278229,华南,-4.329134
-1.308596,-3.765673,华北,4.384440
-5.386113,3.714917,华东,-19.289516
-7.967999,0.531448,华南,-28.395154
3.659464,-2.052046,华北,17.492720
-6.545624,-1.086529,华东,-15.749483
-7.774294,-4.710031,华南,-18.087838
1.904985,4.557691,华北,0.910128
4.652524,4.913503,华东,9.994292
-5.312916,-1.900346,华南,-15.406150
1.999715,-3.677916,华北,14.415507
-3.638030,0.753935,华东,-9.478260
6.662290,0.152868,华南,19.443984
-0.546370,0.029682,华北,0.540229
-3.172991,-1.155663,华东,-4.221135
1.397824,-3.730527,华南,9.857600
5.459004,1.439435,华北,19.867683
-1.958724,-1.435028,华东,0.661267
-3.221557,-4.485311,华南,-4.455874
-6.508083,-4.157190,华北,-11.856523
7.699767,-0.375766,华东,29.729067
2.570454,-2.671709,华南,13.000156
0.297930,-4.526877,华北,11.361704
4.722790,-4.356998,华东,27.255977
-2.187502,-1.989506,华南,-4.969821
-0.300702,0.537450,华北,0.208240
-3.942323,3.855208,华东,-15.882523
1.041070,0.438461,华南,1.771496
0.903941,2.535439,华北,-0.384145
-1.048775,-3.585992,华东,7.496763
2.123577,-1.031725,华南,7.764383
-3.010607,-2.311059,华北,-2.306633
-5.963904,3.484325,华东,-20.180184
6.669557,-0.157015,华南,19.422672
-5.048309,-1.025273,华北,-12.369959
4.276860,1.549513,华东,14.436034
1.455448,-4.027067,华南,10.354056
7.687869,-0.405654,华北,27.948513
1.069004,-2.670240,华东,12.750538
2.039187,2.838501,华南,0.488305
-7.666209,-1.782150,华北,-18.413922
-0.054159,0.975910,华东,2.299391
2.391690,1.771697,华南,2.006755
-7.470579,-1.116564,华北,-20.640249
7.244943,2.152632,华东,24.017364
2.351419,3.463802,华南,-0.299720
4.653305,1.883762,华北,14.176129
0.060787,3.612099,华东,-2.401120
-0.018550,3.975098,华南,-8.399452
4.133403,4.200130,华北,8.795380
-1.666715,-2.927857,华东,4.778718
-1.895053,4.788471,华南,-14.659735
-5.801173,3.854849,华北,-23.450890
-2.867485,-3.147742,华东,1.794077
-0.920342,0.978956,华南,-6.256462
5.421017,-2.802855,华北,25.029670
-6.849967,-3.747410,华东,-12.721094
2.553408,3.201028,华南,1.583776
5.375065,-3.484370,华北,26.782884
-0.250970,3.660152,华东,-3.529841
3.357221,-2.909016,华南,12.692744
4.816540,-3.176581,华北,20.869229
-5.528724,4.054441,华东,-20.862707
6.821956,2.398025,华南,15.497814
4.135870,-4.633970,华北,24.199521
5.212234,-3.838475,华东,26.929122
7.274393,3.320958,华南,16.917073
3.467486,2.684354,华北,8.908245
4.779798,0.959829,华东,17.299228
2.508419,-3.035008,华南,10.895482
1.432779,-1.949087,华北,9.940334
2.204095,-4.389037,华东,18.331223
7.139128,0.574513,华南,21.144083
-3.863852,-4.533570,华北,-2.385138
6.746434,-4.093089,华东,31.667883
-7.241469,-2.427834,华南,-20.780935
2.905837,1.208533,华北,9.267341
7.526580,-3.402017,华东,34.227804
1.662385,-4.645323,华南,11.289737
1.178489,-3.835111,华北,11.879191
2.073045,-4.926266,华东,18.596202
-4.659490,-2.575939,华南,-10.765017
-6.953022,3.364215,华北,-27.216497
-7.216994,2.631534,华东,-22.249432
-2.369982,4.580968,华南,-16.104731
3.859462,2.054773,华北,9.976801
0.065544,1.591182,华东,1.471641
-3.192266,2.664780,华南,-16.421016
5.613577,-1.289240,华北,22.074388
-1.347724,-1.205458,华东,2.034144
-6.192425,1.387210,华南,-23.079296
