treatment,score
对照组,9.533384
对照组,8.078428
对照组,10.104925
对照组,9.649582
对照组,9.502383
对照组,8.196700
对照组,9.327586
对照组,9.060186
对照组,10.504472
对照组,10.615011
对照组,8.943980
对照组,8.826916
对照组,9.632374
对照组,10.112985
对照组,10.951539
对照组,10.283844
对照组,9.246591
对照组,10.545038
对照组,9.333462
对照组,8.668551
对照组,7.907554
对照组,10.451168
对照组,8.612450
对照组,10.297125
对照组,9.078517
对照组,10.018684
对照组,9.526438
对照组,10.194573
对照组,9.634453
对照组,8.689389
方案甲,13.233451
方案甲,11.968865
方案甲,13.131096
方案甲,13.716032
方案甲,11.821104
方案甲,11.749871
方案甲,12.184630
方案甲,12.712213
方案甲,12.072925
方案甲,13.071325
方案甲,12.925676
方案甲,12.996417
方案甲,11.749488
方案甲,12.059241
方案甲,12.257738
方案甲,11.550687
方案甲,10.898674
方案甲,13.519275
方案甲,12.722195
方案甲,12.352814
方案甲,12.716091
方案甲,12.840054
方案甲,12.428326
方案甲,11.912546
方案甲,10.963090
方案甲,11.806720
方案甲,12.158141
方案甲,13.001360
方案甲,13.946314
方案甲,10.914994
方案乙,15.710758
方案乙,14.180257
方案乙,16.180027
方案乙,15.171578
方案乙,14.867286
方案乙,14.716501
方案乙,14.003360
方案乙,16.592162
方案乙,12.499103
方案乙,14.613013
方案乙,14.460632
方案乙,15.274950
方案乙,14.963314
方案乙,15.135171
方案乙,14.639899
方案乙,16.842581
方案乙,16.889805
方案乙,15.991505
方案乙,14.575900
方案乙,13.997045
方案乙,16.862429
方案乙,14.665621
方案乙,15.694434
方案乙,14.552705
方案乙,13.250406
方案乙,15.033323
方案乙,14.333325
方案乙,15.987483
方案乙,15.093898
方案乙,15.479556
方案丙,18.133110
方案丙,18.234541
方案丙,19.084591
方案丙,18.529459
方案丙,17.724590
方案丙,17.434248
方案丙,17.310433
方案丙,18.689579
方案丙,17.971326
方案丙,18.361218
方案丙,17.445167
方案丙,19.757178
方案丙,17.183808
方案丙,17.566655
方案丙,18.686019
方案丙,17.972691
方案丙,18.106109
方案丙,15.624740
方案丙,18.526084
方案丙,18.145565
方案丙,18.252114
方案丙,18.208424
方案丙,18.323701
方案丙,18.190909
方案丙,18.086185
方案丙,16.824637
方案丙,18.102064
方案丙,16.783838
方案丙,19.541143
方案丙,19.031420
